YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,2276,N646JB,SJU,BDL,0438,0550,72,15,0605,241,258,237,1666,0902,6,0739,0908,89,0,0,,17,0,72,0,0
2015,1,1,4,US,602,N197UW,ORD,PHX,0500,0459,-1,12,0511,228,232,214,1440,0745,6,0748,0751,3,0,0,,,,,,
2015,1,1,4,AS,695,N607AS,GEG,SEA,0500,0456,-4,22,0518,70,74,39,224,0557,13,0610,0610,0,0,0,,,,,,
2015,1,1,4,HA,102,N492HA,HNL,ITO,0500,0452,-8,10,0502,49,51,35,216,0537,6,0549,0543,-6,0,0,,,,,,
2015,1,1,4,OO,5467,N701BR,ONT,SFO,0500,0513,13,19,0532,89,85,61,363,0633,5,0629,0638,9,0,0,,,,,,
2015,1,1,4,HA,108,N476HA,HNL,KOA,0502,0501,-1,12,0513,42,48,30,163,0543,6,0544,0549,5,0,0,,,,,,
2015,1,1,4,AS,730,N423AS,ANC,SEA,0505,0457,-8,16,0513,205,199,179,1448,0912,4,0930,0916,-14,0,0,,,,,,
2015,1,1,4,HA,206,N484HA,HNL,OGG,0505,0454,-11,10,0504,36,36,20,100,0524,6,0541,0530,-11,0,0,,,,,,
2015,1,1,4,UA,1500,N30401,ORD,IAH,0510,0514,4,23,0537,175,182,147,925,0804,12,0805,0816,11,0,0,,,,,,
2015,1,1,4,AA,1323,N3CXAA,MCO,MIA,0510,0507,-3,14,0521,63,55,38,192,0559,3,0613,0602,-11,0,0,,,,,,
2015,1,1,4,NK,103,N616NK,BOS,MYR,0510,0506,-4,16,0522,140,134,112,738,0714,6,0730,0720,-10,0,0,,,,,,
2015,1,1,4,OO,7404,N8982A,HIB,MSP,0510,0500,-10,37,0537,68,78,35,174,0612,6,0618,0618,0,0,0,,,,,,
2015,1,1,4,OO,7419,N445SW,ABR,MSP,0510,0508,-2,21,0529,69,67,41,257,0610,5,0619,0615,-4,0,0,,,,,,
2015,1,1,4,OO,5254,N746SK,MAF,IAH,0510,,,,,87,,,429,,,0637,,,0,1,B,,,,,
2015,1,1,4,US,480,N676AW,SEA,PHX,0515,0510,-5,15,0525,165,168,146,1107,0851,7,0900,0858,-2,0,0,,,,,,
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,0515,0703,108,15,0718,161,155,133,1121,1031,7,0856,1038,102,0,0,,0,0,0,0,102
2015,1,1,4,AA,2454,N3ETAA,BOS,MIA,0515,0510,-5,14,0524,208,215,182,1258,0826,19,0843,0845,2,0,0,,,,,,
2015,1,1,4,EV,4354,N12142,MKE,IAH,0515,0517,2,12,0529,178,189,163,984,0812,14,0813,0826,13,0,0,,,,,,
2015,1,1,4,US,425,N174US,PDX,PHX,0520,0620,60,13,0633,150,150,132,1009,0945,5,0850,0950,60,0,0,,0,0,60,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,0520,0618,58,19,0637,141,137,111,964,0928,7,0841,0935,54,0,0,,0,0,54,0,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,0520,0511,-9,30,0541,103,106,66,456,0747,10,0803,0757,-6,0,0,,,,,,
2015,1,1,4,EV,4685,N26545,BRO,IAH,0520,0517,-3,15,0532,74,72,49,308,0621,8,0634,0629,-5,0,0,,,,,,
2015,1,1,4,EV,5583,N882AS,VPS,ATL,0520,0514,-6,9,0523,66,57,42,250,0705,6,0726,0711,-15,0,0,,,,,,
2015,1,1,4,OO,5484,N824AS,BOI,SFO,0520,0525,5,24,0549,112,110,79,522,0608,7,0612,0615,3,0,0,,,,,,
2015,1,1,4,OO,7370,N432SW,BJI,MSP,0520,0517,-3,31,0548,60,72,34,199,0622,7,0620,0629,9,0,0,,,,,,
2015,1,1,4,HA,103,N477HA,HNL,LIH,0523,0513,-10,7,0520,37,35,21,102,0541,7,0600,0548,-12,0,0,,,,,,
2015,1,1,4,EV,5187,N720EV,BNA,ATL,0525,0525,0,32,0557,65,70,35,214,0732,3,0730,0735,5,0,0,,,,,,
2015,1,1,4,MQ,2859,N660MQ,SGF,DFW,0525,,,,,95,,,364,,,0700,,,0,1,B,,,,,
2015,1,1,4,UA,1201,N79521,PHL,IAH,0530,0532,2,12,0544,230,234,210,1325,0814,12,0820,0826,6,0,0,,,,,,
2015,1,1,4,UA,1221,N37281,PDX,DEN,0530,0534,4,9,0543,142,142,125,991,0848,8,0852,0856,4,0,0,,,,,,
2015,1,1,4,UA,1607,N36476,SEA,DEN,0530,0529,-1,10,0539,157,157,138,1024,0857,9,0907,0906,-1,0,0,,,,,,
2015,1,1,4,AA,328,N4XKAA,DEN,DFW,0530,0623,53,32,0655,125,138,96,641,0931,10,0835,0941,66,0,0,,13,0,53,0,0
2015,1,1,4,EV,5764,N832AS,SBN,ORD,0530,0527,-3,12,0539,55,44,22,84,0501,10,0525,0511,-14,0,0,,,,,,
2015,1,1,4,F9,1279,N918FR,PHL,MCO,0530,0526,-4,12,0538,160,146,128,861,0746,6,0810,0752,-18,0,0,,,,,,
2015,1,1,4,NK,409,N509NK,ORD,FLL,0530,0526,-4,12,0538,188,167,149,1182,0907,6,0938,0913,-25,0,0,,,,,,
2015,1,1,4,OO,5460,N583SW,RDD,SFO,0530,,,,,90,,,199,,,0700,,,0,1,A,,,,,
2015,1,1,4,OO,6391,N593ML,EUG,DEN,0530,0526,-4,26,0552,163,180,143,996,0915,11,0913,0926,13,0,0,,,,,,
2015,1,1,4,UA,1532,N77066,SFO,DEN,0531,0550,19,15,0605,146,153,127,967,0912,11,0857,0923,26,0,0,,7,0,19,0,0
2015,1,1,4,UA,1167,N66837,ORD,DEN,0533,0540,7,10,0550,167,163,142,888,0712,11,0720,0723,3,0,0,,,,,,
2015,1,1,4,UA,1012,N17245,IAD,IAH,0535,0541,6,12,0553,207,215,194,1190,0807,9,0802,0816,14,0,0,,,,,,
2015,1,1,4,B6,2001,N358JB,BUF,JFK,0535,0530,-5,17,0547,88,78,56,301,0643,5,0703,0648,-15,0,0,,,,,,
2015,1,1,4,B6,2807,N190JB,PWM,JFK,0535,0528,-7,13,0541,85,67,50,273,0631,4,0700,0635,-25,0,0,,,,,,
2015,1,1,4,B6,2023,N324JB,JFK,SJU,0535,0618,43,13,0631,225,201,184,1598,1035,4,1020,1039,19,0,0,,0,0,19,0,0
2015,1,1,4,EV,4557,N12967,CRP,IAH,0535,0523,-12,12,0535,61,52,33,201,0608,7,0636,0615,-21,0,0,,,,,,
2015,1,1,4,EV,5241,N849AS,PIA,DTW,0535,0530,-5,18,0548,88,75,54,346,0742,3,0803,0745,-18,0,0,,,,,,
2015,1,1,4,EV,5498,N132EV,ORD,DTW,0535,0550,15,18,0608,85,67,41,235,0749,8,0800,0757,-3,0,0,,,,,,
2015,1,1,4,OO,6512,N925SW,FAT,LAX,0535,0530,-5,33,0603,75,80,42,209,0645,5,0650,0650,0,0,0,,,,,,
